year;region;region_oktmo;city;city_oktmo;air_general_level;air_standard_index;air_repeatability;air_qcp;air_solid_emissions;air_so_emissions;air_no_emissions;air_co_emissions;air_population;air_stantions
2013;Пензенская область;56000000;ПЕНЗА;56701000;3;No substance;No substance;БП, Ф, НCl;4.1;0.11;3.21;1.55;519.9;4
2013;Пермский край;57000000;БЕРЕЗНИКИ;57708000;2;No substance;No substance;NO2, Ф;2.1;0.5;3.1;8.1;154.6;4
2013;Пермский край;57000000;ГУБАХА;57516000;3;ЭБ;No substance;БП, Ф;0.6;0.5;1.2;1.7;37.2;2
2013;Пермский край;57000000;ПЕРМЬ;57701000;3;No substance;No substance;NO2, Ф;1.6;3.7;10.8;11.2;992.0;7
2013;Пермский край;57000000;СОЛИКАМСК;57730000;3;No substance;No substance;БП, Ф;0.8;0.3;1.8;2.5;102.8;5
2013;Приморский край;05000000;АРТЕМ;05705000;1;No substance;No substance;NO2;14.0;8.4;5.7;1.8;111.9;1
2013;Приморский край;05000000;БОЛЬШОЙ КАМЕНЬ;05706000;-9;No substance;No substance;ВВ;-9.0;-9.0;-9.0;-9.0;40.5;1
2013;Приморский край;05000000;ВЛАДИВОСТОК;05701000;3;No substance;No substance;NO, NO2, Ф;8.6;7.4;4.5;2.4;625.9;6
2013;Приморский край;05000000;ДАЛЬНЕГОРСК;05707000;1;No substance;No substance;No substance;0.4;1.4;0.4;0.8;44.9;1
2013;Приморский край;05000000;НАХОДКА;05714000;-9;No substance;No substance;No substance;1.7;3.8;0.9;2.1;159.3;1
2013;Приморский край;05000000;ПАРТИЗАНСК;05717000;1;No substance;No substance;БП;7.3;3.4;2.8;1.3;46.0;1
2013;Приморский край;05000000;СПАССК-ДАЛЬНИЙ;05720000;-9;No substance;No substance;NO2;1.2;0.8;0.2;1.6;43.3;1
2013;Приморский край;05000000;УССУРИЙСК;05723000;3;No substance;No substance;ВВ, NO2, БП;2.2;2.9;1.4;4.0;191.1;1
2013;Псковская область;58000000;ВЕЛИКИЕ ЛУКИ;58710000;-9;No substance;No substance;No substance;0.48;0.45;0.34;1.6;97.9;1
2013;Псковская область;58000000;ПСКОВ;58701000;1;No substance;No substance;No substance;0.13;0.03;0.55;0.51;206.2;1
2013;Республика Башкортостан;80000000;БЛАГОВЕЩЕНСК;80615101;2;No substance;No substance;NO2, БП, Ф;0.2;0.6;2.4;5.2;34.8;2
2013;Республика Башкортостан;80000000;САЛАВАТ;80739000;2;No substance;No substance;БП, Ф;0.8;12.6;12.4;14.2;154.9;3
2013;Республика Башкортостан;80000000;СТЕРЛИТАМАК;80745000;3;No substance;No substance;NO2, БП, Ф;2.7;1.5;10.9;62.3;275.8;5
2013;Республика Башкортостан;80000000;ТУЙМАЗЫ;80651101;2;No substance;No substance;ВВ, Ф;0.4;0.3;3.6;18.5;67.1;1
2013;Республика Башкортостан;80000000;УФА;80701000;3;NO2, H2S;No substance;NO2, БП, Ф;2.6;20.0;40.4;108.7;1087.2;9
2013;Республика Бурятия;81000000;АРШАН;81651403;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;эп
2013;Республика Бурятия;81000000;ГОРЯЧИНСК;81642489;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;эп
2013;Республика Бурятия;81000000;ГУСИНООЗЕРСК;81648101;1;No substance;No substance;ВВ;-9.0;-9.0;-9.0;-9.0;23.8;1+эп
2013;Республика Бурятия;81000000;КЯХТА;81633101;-9;No substance;No substance;ВВ, NO2;-9.0;-9.0;-9.0;-9.0;20.0;1
2013;Республика Бурятия;81000000;ОКИНО-КЛЮЧЕВСКОЕ;81609440;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;эп
2013;Республика Бурятия;81000000;САГАН-НУР;81636442;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;эп
2013;Республика Бурятия;81000000;СЕЛЕНГИНСК;81624163;4;БП;No substance;ВВ, Ф, БП;1.1;0.8;0.25;2.0;14.2;2
2013;Республика Бурятия;81000000;УЛАН-УДЭ;81701000;4;БП;No substance;ВВ, БП, NO2, Ф;9.9;7.3;5.1;28.1;416.1;3
2013;Республика Дагестан;82000000;МАХАЧКАЛА;82701000;3;No substance;66%, ВВ, ст. 4;ВВ, NO2, НF, БП;0.6;0.1;0.4;0.8;578.9;3
2013;Республика Карелия;86000000;КОНДОПОГА;86615101;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;-9.0;1
2013;Республика Карелия;86000000;НАДВОИЦЫ;86645160;1;No substance;No substance;БП;-9.0;-9.0;-9.0;-9.0;-9.0;1
2013;Республика Карелия;86000000;ПЕТРОЗАВОДСК;86701000;2;No substance;No substance;БП;0.4;0.6;0.6;1.4;268.9;1
2013;Республика Коми;87000000;ВОРКУТА;87710000;3;No substance;No substance;ВВ, БП, Ф;27.3;26.3;6.8;6.6;88.03;2
2013;Республика Коми;87000000;СОСНОГОРСК;87626122;-9;No substance;No substance;No substance;1.5;0.3;2.0;42.4;45.7;1
2013;Республика Коми;87000000;СЫКТЫВКАР;87701000;3;No substance;No substance;БП, Ф;0.7;0.4;6.3;17.5;256.1;4
2013;Республика Коми;87000000;УХТА;87725000;1;No substance;No substance;БП;0.05;0.24;2.6;10.5;121.3;2
2013;Республика Мордовия;89000000;САРАНСК;89701000;3;No substance;No substance;БП, NO2, Ф;1.6;0.4;3.7;18.0;326.8;4
2013;Республика Саха (Якутия);98000000;МИРНЫЙ;98631101;3;No substance;No substance;ВВ, Ф;1.0;0.2;0.7;2.4;35.5;1
2013;Республика Саха (Якутия);98000000;НЕРЮНГРИ;98660101;4;No substance;31% Ф ст. 4;ВВ, NO2, Ф;5.5;0.2;2.9;3.2;60.5;2
2013;Республика Саха (Якутия);98000000;УСТЬ-НЕРА;98639151;-9;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;6.1;1
2013;Республика Саха (Якутия);98000000;ЯКУТСК;98701000;3;No substance;No substance;ВВ, БП, Ф;0.3;0.02;5.2;4.8;278.4;3
2013;Республика Северная Осетия – Алания;90000000;ВЛАДИКАВКАЗ;90701000;1;No substance;No substance;NO2;0.23;0.5;6.1;61.7;310.1;2+6
2013;Республика Татарстан;92000000;КАЗАНЬ;92701000;3;No substance;No substance;Ф, БП, NO2;1.5;0.2;7.2;6.1;1176.2;10
2013;Республика Татарстан;92000000;НАБЕРЕЖНЫЕ ЧЕЛНЫ;92730000;3;No substance;No substance;Ф, БП;1.8;1.7;4.5;5.0;519.0;2+4м
2013;Республика Татарстан;92000000;НИЖНЕКАМСК;92644101;4;No substance;No substance;Ф, БП, Фенол;2.5;6.7;12.6;9.1;235.4;1+5м
2013;Республика Тыва;93000000;КЫЗЫЛ;93701000;4;БП;24% Cажа, ст. 5;БП, Ф, Cажа;1.8;1.4;0.96;6.8;111.1;3
2013;Республика Хакасия;95000000;АБАКАН;95701000;3;БП;No substance;БП, Ф;2.1;5.1;4.0;4.0;167.6;2
2013;Республика Хакасия;95000000;САЯНОГОРСК;95708000;3;No substance;No substance;БП, Ф;6.7;9.9;0.8;25.4;62.5;1
2013;Республика Хакасия;95000000;ЧЕРНОГОРСК;95715000;4;БП;No substance;БП, Ф;2.7;1.7;0.7;7.4;74.8;1
2013;Ростовская область;60000000;АЗОВ;60704000;3;No substance;No substance;NO2, БП, Ф;0.15;0.06;0.12;0.44;83.1;2
2013;Ростовская область;60000000;БАТАЙСК;60707000;3;No substance;No substance;ВВ, NO2, Ф;0.17;0.05;0.08;0.28;112.4;1
2013;Ростовская область;60000000;ВОЛГОДОНСК;60712000;3;No substance;No substance;Ф;0.31;0.14;0.9;0.33;169.1;2
2013;Ростовская область;60000000;МИЛЛЕРОВО;60632101;3;No substance;No substance;Ф;-9.0;-9.0;-9.0;-9.0;37.2;1
2013;Ростовская область;60000000;НОВОЧЕРКАССК;60727000;3;No substance;43% ВВ;ВВ, NO2, БП, Фенол, Ф;24.2;58.9;33.1;6.0;169.3;1
2013;Ростовская область;60000000;РОСТОВ-НА-ДОНУ;60701000;3;No substance;No substance;ВВ, NO2, БП, Ф, Cажа;0.9;0.4;2.0;3.5;1091.5;7
2013;Ростовская область;60000000;ТАГАНРОГ;60737000;2;No substance;No substance;СО, NO2, БП;1.04;0.1;2.7;1.8;257.2;1
2013;Ростовская область;60000000;ЦИМЛЯНСК;60657101;1;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;15.8;1
2013;Ростовская область;60000000;ШАХТЫ;60740000;2;No substance;No substance;ВВ, NO2, БП;0.9;0.2;0.8;1.1;240.1;1
2013;Рязанская область;61000000;РЯЗАНЬ;61701000;3;H2S;No substance;NO2, Ф, БП;14.1;24.6;22.0;37.2;527.9;4
2013;Самарская область;36000000;БЕЗЕНЧУК;36604151;2;No substance;No substance;Ф;-9.0;-9.0;-9.0;-9.0;22.6;1
2013;Самарская область;36000000;ЖИГУЛЕВСК;36704000;2;No substance;No substance;NO2,Ф;7.0;0.1;0.7;0.8;60.3;1
2013;Самарская область;36000000;НОВОКУЙБЫШЕВСК;36713000;3;H2S;No substance;БП, Ф;0.8;3.1;3.6;3.8;106.9;3+1
2013;Самарская область;36000000;ОТРАДНЫЙ;36724000;2;No substance;No substance;NO2,Ф;0.1;0.2;1.0;1.1;47.6;1
2013;Самарская область;36000000;ПОХВИСТНЕВО;36727000;2;No substance;No substance;Ф;0.15;0.15;0.14;1.28;28.1;1
2013;Самарская область;36000000;САМАРА;36701000;3;No substance;No substance;БП, Ф, NH3;2.0;7.9;7.4;9.1;1171.6;15+1
2013;Самарская область;36000000;СЫЗРАНЬ;36735000;3;No substance;No substance;БП, Ф, NO2;0.6;6.8;1.9;1.6;176.9;4+1
2013;Самарская область;36000000;ТОЛЬЯТТИ;36740000;3;No substance;No substance;БП, Ф;3.1;0.7;8.9;6.4;718.6;8
2013;Самарская область;36000000;ЧАПАЕВСК;36750000;2;No substance;No substance;БП, Ф;0.2;0.04;0.5;0.4;72.4;3
2013;Саратовская область;63000000;БАЛАКОВО;63607101;3;No substance;No substance;NO2, БП, Ф, Фенол;1.4;0.1;8.2;1.7;196.3;3
2013;Саратовская область;63000000;БОЛЬШАЯ САКМА;00000000;1;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;0.7;1
2013;Саратовская область;63000000;ГОРНЫЙ;63632420;1;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;5.0;1
2013;Саратовская область;63000000;ОКТЯБРЬСКИЙ;63608448;1;No substance;No substance;No substance;-9.0;-9.0;-9.0;-9.0;0.26;1
2013;Саратовская область;63000000;САРАТОВ;63701000;4;No substance;21% Ф, ст. 8;NO2, NH3 БП, Ф;2.8;7.8;15.9;12.3;839.8;6
2013;Сахалинская область;64000000;АЛЕКСАНДРОВСК-САХАЛИНСКИЙ;64704000;2;No substance;20%, Cажа, ст.2;Cажа;0.3;0.2;0.2;0.8;10.5;2
2013;Сахалинская область;64000000;КОРСАКОВ;64716000;3;ВВ;68% ВВ 21%, Cажа, ст.3;ВВ, NO2, Cажа;0.7;0.4;0.6;4.5;33.5;2
2013;Сахалинская область;64000000;НОВОАЛЕКСАНДРОВСК;07726000;3;СО;39%ВВ, 20%,Cажа, ст.1;ВВ, NO2, Cажа;0.3;0.1;0.09;0.6;11.2;1
2013;Сахалинская область;64000000;ОХА;64736000;1;No substance;No substance;NO2;0.05;0.02;1.79;8.2;22.9;1
2013;Сахалинская область;64000000;ПОРОНАЙСК;64740000;1;No substance;No substance;NO2;0.5;0.3;0.3;2.4;16.0;2
2013;Сахалинская область;64000000;ЮЖНО-САХАЛИНСК;64701000;4;ВВ, Cажа;67 % ВВ, ст.4, 56% Cажа, ст.4, 29 % NO2, ст.4;NO2, NO, Ф, БП, ВВ, Cажа;3.5;3.4;4.0;16.5;188.9;4
2013;Свердловская область;65000000;ЕКАТЕРИНБУРГ;65701000;4;ЭБ;No substance;ВВ, БП, Ф NO2;2.9;0.3;15.6;5.3;1429.4;6
